BE_19_05_00_00	Aukstumapgādes sistēmas
BE_19_05_01_00	Aukstumapgādes sistēmas
BE_19_05_03_00	Aukstumkameru sistēmas
BE_19_05_05_00	Aukstumnoliktavu sistēmas
BE_19_05_07_00	Citas aukstumapgādes sistēmas
BE_19_07_00_00	Ūdensapgādes sistēmas - iekšējās
BE_19_07_01_00	Aukstā ūdens apgādes sistēmas
BE_19_07_03_00	Karstā ūdens apgādes sistēmas
BE_19_07_05_00	Ūdens sagatavošanas sistēmas
BE_19_07_07_00	Laistīšanas sistēmas
BE_19_07_09_00	Dekoratīvo ūdens objektu sistēmas
BE_19_07_11_00	Citas ūdensapgādes sistēmas
BE_19_09_00_00	Kanalizācijas sistēmas - iekšējās
BE_19_09_01_00	Kondensāta kanalizācijas sistēmas
BE_19_09_03_00	Rūpnieciskās kanalizācijas sistēmas
BE_19_09_05_00	Sadzīves kanalizācijas sistēmas
BE_19_09_07_00	Virszemes ūdens uztveršanas sistēmas
BE_19_09_07_01	Lietus ūdens kanalizācijas sistēmas
BE_19_09_07_03	Notekūdeņu drenāžas sistēmas
BE_19_09_09_00	Citas iekšējās kanalizācijas sistēmas
BE_19_11_00_00	Ugunsdzēsības sistēmas
BE_19_11_01_00	Automātiskās ūdens ugunsdzēsības sistēmas
BE_19_11_03_00	Gāzes ugunsdzēsības sistēmas
BE_19_11_05_00	Pulvera ugunsdzēsības sistēmas
BE_19_11_07_00	Putu ugunsdzēsības sistēmas
BE_19_11_09_00	Ugunsdzēsības pārvietojamais aprīkojums
BE_19_11_11_00	Ūdens ugunsdzēsības sistēmas
BE_19_11_13_00	Citas ugunsdzēsības sistēmas
BE_19_13_00_00	Gāzes apgāde sistēmas
BE_19_13_01_00	Kurināmās gāzes apgāde-iekšējā
BE_19_13_01_01	Dabasgāzes iekšējo gāzesvadu sistēma
BE_19_13_01_03	Sašķidrinātās naftas gāzes iekšējo gāzesvadu sistēma
BE_19_13_01_05	Citas kurināmās gāzes apgādes sistēmas
BE_19_13_03_00	Kurināmās gāzes apgāde-ārējā 
BE_19_13_03_01	Dabasgāzes ārējo gāzesvadu sistēma
BE_19_13_03_03	Sašķidrinātās naftas gāzes ārējo gāzesvadu sistēma
BE_19_13_03_05	Citas kurināmās gāzes apgādes sistēmas
BE_19_13_05_00	Vakuuma sistēmas
BE_19_13_07_00	Industriālās gāzu apgādes sistēmas
BE_19_13_09_00	Laboratorijas gāzu apgādes sistēmas
BE_19_13_11_00	Medicīnas gāzu apgādes sistēmas
BE_19_13_13_00	Citas gāzes apgādes sistēmas
BE_19_15_00_00	Tvaika apgādes sistēmas
BE_19_17_00_00	Degvielas ieguves, apstrādes un uzglabāšanas sistēmas
BE_19_19_00_00	Degvielas apgādes sistēmas
BE_19_21_00_00	Industriālo šķidrumu apgādes sistēmas
BE_19_23_00_00	Gāzes ieguves, apstrādes un uzglabāšanas sistēmas
BE_19_25_00_00	Siltumapgādes sistēmas - ārējās
BE_19_25_01_00	Laukumu siltumapgādes sistēmas
BE_19_25_03_00	Visparējās siltumapgādes sistēma
BE_19_25_05_00	Siltumsūkņu sistēmas
BE_19_25_07_00	Citas siltumapgādes sistēmas
BE_19_27_00_00	Apūdeņošanas sistēmas
BE_19_29_00_00	Ūdensapgāde un kanalizācija-ārējā 
BE_19_29_01_00	Ūdens ieguves, apstrādes un uzglabāšanas sistēmas
BE_19_29_01_01	Ūdens ieguves sistēmas
BE_19_29_01_03	Ūdens apstrādes sistēmas
BE_19_29_01_05	Ūdens attīrīšanas sistēma
BE_19_29_01_07	Ūdens dezinfekcijas sistēmas
BE_19_29_03_00	Ūdens uzglabāšanas sistēma
BE_19_29_05_00	Aukstā ūdens apgādes sistēmas
BE_19_29_07_00	Karstā ūdens apgādes sistēmas
BE_19_29_09_00	Ūdens kvalitātes uzraudzības sistēmas
BE_19_29_11_00	Laistīšanas sistēmas
BE_19_29_13_00	Dekoratīvo ūdens objektu sistēmas
BE_19_29_15_00	Citas ārējās ūdensapgādes sistēmas
BE_19_31_00_00	Ūdensapgāde un kanalizācija-ārējā 
BE_19_31_01_00	Ārējās notekūdeņu un kanalizācijas sistēma
BE_19_31_03_00	Revīzijas aku sistēmas
